date,account_label,ticker,name,quantity,avg_price,current_price,eval_amount,profit_loss,profit_loss_pct,source,fetched_at
2026-07-25,IRP,0113D0,TIME 글로벌탑픽액티브,100,9925.0000,12255,1225500,233000,23.48,kis_api,2026-07-25T14:48:09+00:00
2026-07-25,IRP,0118S0,SOL 미국넥스트테크TOP10액티브,265,9089.7170,10985,2911025,502250,20.85,kis_api,2026-07-25T14:48:09+00:00
2026-07-25,IRP,0183V0,KIWOOM 삼성전자&SK하이닉스채권혼합50,100,10250.0000,11615,1161500,136500,13.32,kis_api,2026-07-25T14:48:09+00:00
2026-07-25,IRP,371460,TIGER 차이나전기차SOLACTIVE,50,13000.0000,10805,540250,-109750,-16.88,kis_api,2026-07-25T14:48:09+00:00
2026-07-25,IRP,411060,ACE KRX금현물,20,27290.0000,26325,526500,-19300,-3.54,kis_api,2026-07-25T14:48:09+00:00
2026-07-25,IRP,453810,KODEX 인도Nifty50,544,13341.5625,12160,6615040,-642770,-8.86,kis_api,2026-07-25T14:48:09+00:00
2026-07-25,IRP,487230,KODEX 미국AI전력핵심인프라,134,15152.2612,22690,3040460,1010057,49.75,kis_api,2026-07-25T14:48:09+00:00
2026-07-25,ISA,000660,SK하이닉스,19,920052.6316,1759000,33421000,15940000,91.18,kis_api,2026-07-25T14:48:08+00:00
2026-07-25,ISA,005930,삼성전자,108,187911.1111,249500,26946000,6651600,32.77,kis_api,2026-07-25T14:48:08+00:00
2026-07-25,ISA,0183J0,TIGER 미국우주테크,225,14064.4444,7340,1651500,-1513000,-47.81,kis_api,2026-07-25T14:48:08+00:00
2026-07-25,ISA,344860,이노진,615,1613.2358,1324,814260,-177879,-17.92,kis_api,2026-07-25T14:48:08+00:00
2026-07-25,ISA,371460,TIGER 차이나전기차SOLACTIVE,202,10443.2228,10805,2182610,73079,3.46,kis_api,2026-07-25T14:48:08+00:00
2026-07-25,ISA,411060,ACE KRX금현물,113,28916.6814,26325,2974725,-292860,-8.96,kis_api,2026-07-25T14:48:08+00:00
2026-07-25,ISA,417010,나노팀,166,6820.6446,4255,706330,-425897,-37.61,kis_api,2026-07-25T14:48:08+00:00
2026-07-25,ISA,455850,SOL AI반도체소부장,100,27321.5000,21440,2144000,-588150,-21.52,kis_api,2026-07-25T14:48:08+00:00
2026-07-25,ISA,469150,ACE AI반도체TOP3+,297,17793.2525,54975,16327575,11042979,208.96,kis_api,2026-07-25T14:48:08+00:00
2026-07-25,ISA,475380,RISE 글로벌리얼티인컴,70,9978.5714,11075,775250,76750,10.98,kis_api,2026-07-25T14:48:08+00:00
2026-07-25,ISA,476070,KODEX 글로벌비만치료제TOP2 Plus,440,9341.9432,11600,5104000,993545,24.17,kis_api,2026-07-25T14:48:08+00:00
2026-07-25,일반,000660,SK하이닉스,119,280789.9160,1759000,209321000,175907000,526.44,kis_api,2026-07-25T14:48:07+00:00
2026-07-25,일반,080220,제주반도체,20,91725.0000,70300,1406000,-428500,-23.35,kis_api,2026-07-25T14:48:07+00:00
2026-07-25,일반,089860,롯데렌탈,4,59000.0000,40000,160000,-76000,-32.20,kis_api,2026-07-25T14:48:07+00:00
2026-07-25,일반,316140,우리금융지주,4,26100.0000,30850,123400,19000,18.19,kis_api,2026-07-25T14:48:07+00:00
2026-07-27,IRP,0113D0,TIME 글로벌탑픽액티브,100,9925.0000,12455,1245500,253000,25.49,kis_api,2026-07-27T17:13:39+00:00
2026-07-27,IRP,0118S0,SOL 미국넥스트테크TOP10액티브,265,9089.7170,10790,2859350,450575,18.71,kis_api,2026-07-27T17:13:39+00:00
2026-07-27,IRP,0183V0,KIWOOM 삼성전자&SK하이닉스채권혼합50,100,10250.0000,11795,1179500,154500,15.07,kis_api,2026-07-27T17:13:39+00:00
2026-07-27,IRP,371460,TIGER 차이나전기차SOLACTIVE,50,13000.0000,11050,552500,-97500,-15.00,kis_api,2026-07-27T17:13:39+00:00
2026-07-27,IRP,411060,ACE KRX금현물,20,27290.0000,26830,536600,-9200,-1.69,kis_api,2026-07-27T17:13:39+00:00
2026-07-27,IRP,453810,KODEX 인도Nifty50,544,13341.5625,12310,6696640,-561170,-7.73,kis_api,2026-07-27T17:13:39+00:00
2026-07-27,IRP,487230,KODEX 미국AI전력핵심인프라,134,15152.2612,22325,2991550,961147,47.34,kis_api,2026-07-27T17:13:39+00:00
2026-07-27,ISA,000660,SK하이닉스,19,920052.6316,1816000,34504000,17023000,97.38,kis_api,2026-07-27T17:13:38+00:00
2026-07-27,ISA,005930,삼성전자,108,187911.1111,254000,27432000,7137600,35.17,kis_api,2026-07-27T17:13:38+00:00
2026-07-27,ISA,0183J0,TIGER 미국우주테크,225,14064.4444,7175,1614375,-1550125,-48.98,kis_api,2026-07-27T17:13:38+00:00
2026-07-27,ISA,344860,이노진,615,1613.2358,1349,829635,-162504,-16.37,kis_api,2026-07-27T17:13:38+00:00
2026-07-27,ISA,371460,TIGER 차이나전기차SOLACTIVE,202,10443.2228,11050,2232100,122569,5.81,kis_api,2026-07-27T17:13:38+00:00
2026-07-27,ISA,411060,ACE KRX금현물,113,28916.6814,26830,3031790,-235795,-7.21,kis_api,2026-07-27T17:13:38+00:00
2026-07-27,ISA,417010,나노팀,166,6820.6446,4185,694710,-437517,-38.64,kis_api,2026-07-27T17:13:38+00:00
2026-07-27,ISA,455850,SOL AI반도체소부장,100,27321.5000,21950,2195000,-537150,-19.66,kis_api,2026-07-27T17:13:38+00:00
2026-07-27,ISA,469150,ACE AI반도체TOP3+,297,17793.2525,56105,16663185,11378589,215.31,kis_api,2026-07-27T17:13:38+00:00
2026-07-27,ISA,475380,RISE 글로벌리얼티인컴,70,9978.5714,11280,789600,91100,13.04,kis_api,2026-07-27T17:13:38+00:00
2026-07-27,ISA,476070,KODEX 글로벌비만치료제TOP2 Plus,440,9341.9432,11785,5185400,1074945,26.15,kis_api,2026-07-27T17:13:38+00:00
2026-07-27,일반,000660,SK하이닉스,119,280789.9160,1816000,216104000,182690000,546.74,kis_api,2026-07-27T17:13:36+00:00
2026-07-27,일반,080220,제주반도체,20,91725.0000,74000,1480000,-354500,-19.32,kis_api,2026-07-27T17:13:36+00:00
2026-07-27,일반,089860,롯데렌탈,4,59000.0000,40000,160000,-76000,-32.20,kis_api,2026-07-27T17:13:36+00:00
2026-07-27,일반,316140,우리금융지주,4,26100.0000,33100,132400,28000,26.81,kis_api,2026-07-27T17:13:36+00:00
2026-07-31,IRP,0113D0,TIME 글로벌탑픽액티브,100,9925.0000,12145,1214500,222000,22.37,kis_api,2026-07-31T16:24:27+00:00
2026-07-31,IRP,0118S0,SOL 미국넥스트테크TOP10액티브,265,9089.7170,10640,2819600,410825,17.06,kis_api,2026-07-31T16:24:27+00:00
2026-07-31,IRP,0183V0,KIWOOM 삼성전자&SK하이닉스채권혼합50,100,10250.0000,12000,1200000,175000,17.07,kis_api,2026-07-31T16:24:27+00:00
2026-07-31,IRP,371460,TIGER 차이나전기차SOLACTIVE,50,13000.0000,11005,550250,-99750,-15.35,kis_api,2026-07-31T16:24:27+00:00
2026-07-31,IRP,411060,ACE KRX금현물,20,27290.0000,26080,521600,-24200,-4.43,kis_api,2026-07-31T16:24:27+00:00
2026-07-31,IRP,453810,KODEX 인도Nifty50,544,13341.5625,12270,6674880,-582930,-8.03,kis_api,2026-07-31T16:24:27+00:00
2026-07-31,IRP,487230,KODEX 미국AI전력핵심인프라,134,15152.2612,20665,2769110,738707,36.38,kis_api,2026-07-31T16:24:27+00:00
2026-07-31,ISA,000660,SK하이닉스,19,920052.6316,1718000,32642000,15161000,86.72,kis_api,2026-07-31T16:24:25+00:00
2026-07-31,ISA,005930,삼성전자,108,187911.1111,262500,28350000,8055600,39.69,kis_api,2026-07-31T16:24:25+00:00
2026-07-31,ISA,0183J0,TIGER 미국우주테크,225,14064.4444,6900,1552500,-1612000,-50.94,kis_api,2026-07-31T16:24:25+00:00
2026-07-31,ISA,344860,이노진,615,1613.2358,1230,756450,-235689,-23.75,kis_api,2026-07-31T16:24:25+00:00
2026-07-31,ISA,371460,TIGER 차이나전기차SOLACTIVE,202,10443.2228,11005,2223010,113479,5.37,kis_api,2026-07-31T16:24:25+00:00
2026-07-31,ISA,411060,ACE KRX금현물,113,28916.6814,26080,2947040,-320545,-9.80,kis_api,2026-07-31T16:24:25+00:00
2026-07-31,ISA,417010,나노팀,166,6820.6446,3985,661510,-470717,-41.57,kis_api,2026-07-31T16:24:25+00:00
2026-07-31,ISA,455850,SOL AI반도체소부장,100,27321.5000,20305,2030500,-701650,-25.68,kis_api,2026-07-31T16:24:25+00:00
2026-07-31,ISA,469150,ACE AI반도체TOP3+,297,17793.2525,55915,16606755,11322159,214.24,kis_api,2026-07-31T16:24:25+00:00
2026-07-31,ISA,475380,RISE 글로벌리얼티인컴,70,9978.5714,10965,767550,69050,9.88,kis_api,2026-07-31T16:24:25+00:00
2026-07-31,ISA,476070,KODEX 글로벌비만치료제TOP2 Plus,440,9341.9432,11675,5137000,1026545,24.97,kis_api,2026-07-31T16:24:25+00:00
2026-07-31,일반,000660,SK하이닉스,120,291783.3333,1718000,206160000,171146000,488.79,kis_api,2026-07-31T16:24:24+00:00
2026-07-31,일반,080220,제주반도체,20,91725.0000,65100,1302000,-532500,-29.02,kis_api,2026-07-31T16:24:24+00:00
2026-07-31,일반,089860,롯데렌탈,4,59000.0000,39350,157400,-78600,-33.30,kis_api,2026-07-31T16:24:24+00:00
2026-07-31,일반,316140,우리금융지주,4,26100.0000,33600,134400,30000,28.73,kis_api,2026-07-31T16:24:24+00:00
