date,ticker,foreign_net_qty,inst_net_qty,retail_net_qty,foreign_net_krw,inst_net_krw,retail_net_krw,source,note
2026-06-12,000660,573440,-270178,-276904,1285663000000,-550975000000,-674383000000,kis_api,
2026-06-15,000660,180233,165238,-337306,419050000000,381201000000,-781433000000,kis_api,
2026-06-16,000660,351894,238957,-582133,839851000000,562983000000,-1382058000000,kis_api,
2026-06-17,000660,74908,341331,-399329,184203000000,849564000000,-991358000000,kis_api,
2026-06-18,000660,25375,38559,-35111,86316000000,94674000000,-104420000000,kis_api,
2026-06-19,000660,-317848,259188,74603,-873142000000,721705000000,196558000000,kis_api,
2026-06-22,000660,-502831,419974,75039,-1435633000000,1214664000000,199421000000,kis_api,
2026-06-23,000660,-937255,-925092,1858226,-2628083000000,-2444198000000,5063449000000,kis_api,
2026-06-24,000660,-1407204,343532,1036807,-3631136000000,899156000000,2662280000000,kis_api,
2026-06-25,000660,-113276,865177,-716876,-298119000000,2489014000000,-2088002000000,kis_api,
2026-06-26,000660,-847969,-1065176,1864496,-2315029000000,-2834336000000,5019194000000,kis_api,
2026-06-29,000660,-1268744,276941,961633,-3287412000000,728212000000,2481410000000,kis_api,
2026-06-30,000660,-602006,284306,307584,-1576786000000,757676000000,792500000000,kis_api,
2026-07-01,000660,-3130,-308954,301483,-11392000000,-782201000000,766448000000,kis_api,
2026-07-02,000660,-687600,-1372901,2005417,-1656459000000,-3064397000000,4593076000000,kis_api,
2026-07-03,000660,-745377,1071876,-344055,-1719514000000,2523544000000,-841386000000,kis_api,
2026-07-06,000660,-27696,-584423,586434,-62599000000,-1388962000000,1390353000000,kis_api,
2026-07-07,000660,-542009,-23811,553638,-1163735000000,-57052000000,1195265000000,kis_api,
2026-07-08,000660,88312,-285353,178421,177649000000,-549076000000,332067000000,kis_api,
2026-07-09,000660,-209485,404365,-179724,-448365000000,895016000000,-412473000000,kis_api,
2026-07-10,000660,-768843,204193,550090,-1703813000000,461410000000,1210224000000,kis_api,
2026-07-13,000660,-704671,-781727,1440630,-1398044000000,-1483260000000,2792644000000,kis_api,
2026-07-14,000660,664541,697670,-1357280,1269628000000,1284894000000,-2544202000000,kis_api,
2026-07-15,000660,331145,265930,-582862,714008000000,564858000000,-1248265000000,kis_api,
2026-07-16,000660,-469637,-628785,1067656,-873386000000,-1163920000000,1980274000000,kis_api,
2026-07-20,000660,331597,-527040,180897,611147000000,-933526000000,296681000000,kis_api,
2026-07-21,000660,-237417,366154,-116422,-438950000000,682104000000,-220082000000,kis_api,
2026-07-22,000660,640418,-564978,-85833,1256283000000,-1056256000000,-219363000000,kis_api,
2026-07-23,000660,689697,-148136,-529529,1315893000000,-279644000000,-1013261000000,kis_api,
2026-07-24,000660,-976779,-483881,1431548,-1753255000000,-867391000000,2568526000000,kis_api,
2026-07-27,000660,-615917,231139,376010,-1089783000000,410764000000,663791000000,kis_api,
2026-07-28,000660,-1826337,388673,1414492,-2921035000000,623019000000,2261064000000,kis_api,
2026-07-29,000660,-921877,791370,103198,-1242524000000,1110941000000,93605000000,kis_api,
2026-07-30,000660,444498,-80151,-373392,582679000000,-82830000000,-512334000000,kis_api,
2026-07-31,000660,2205767,277183,-2463959,3648525000000,504452000000,-4122568000000,kis_api,
2026-08-03,000660,-1107357,-288012,1368737,-1760760000000,-456003000000,2174506000000,kis_api,
2026-08-04,000660,-418552,18945,376403,-636038000000,30975000000,569273000000,kis_api,
2026-08-05,000660,389804,-28260,-361605,657688000000,-43095000000,-614670000000,kis_api,
2026-08-06,000660,-1101883,-275040,1337421,-1677100000000,-422181000000,2039284000000,kis_api,
2026-08-07,000660,-56357,32908,198922,-66654000000,47584000000,271106000000,kis_api,
2026-08-10,000660,-286575,68099,219485,-408778000000,104786000000,305251000000,kis_api,
2026-08-11,000660,-210592,68354,133271,-299781000000,103535000000,183355000000,kis_api,
2026-08-12,000660,559854,193626,-755159,845069000000,288792000000,-1136274000000,kis_api,
2026-08-13,000660,649842,159109,-787333,1049916000000,257794000000,-1272881000000,kis_api,
2026-08-14,000660,747508,-334859,-391964,1244772000000,-551580000000,-658668000000,kis_api,
2026-08-18,000660,441470,-73791,-355906,790424000000,-123722000000,-646245000000,kis_api,
2026-08-19,000660,-1199222,-311406,1463866,-1817617000000,-471849000000,2218460000000,kis_api,
2026-08-20,000660,312973,-13214,-922172,529248000000,-24189000000,-1549322000000,kis_api,
2026-08-21,000660,6014,66258,-720118,13764000000,111432000000,-1255082000000,kis_api,
2026-08-24,000660,-913265,-173328,440367,-1563478000000,-293675000000,750274000000,kis_api,
2026-08-25,000660,-1234309,197025,386856,-1995729000000,328114000000,618857000000,kis_api,
2026-08-26,000660,-227762,2290,-412517,-385028000000,5607000000,-709220000000,kis_api,
2026-08-27,000660,-159385,-140329,-335812,-272474000000,-242209000000,-591299000000,kis_api,
2026-08-28,000660,-190235,-796000,339503,-299529000000,-1363574000000,566833000000,kis_api,
2026-08-31,000660,-211935,-314294,-112542,-339057000000,-507234000000,-189437000000,kis_api,
2026-09-01,000660,91835,-142669,-590498,157042000000,-239440000000,-1001258000000,kis_api,
2026-09-02,000660,-651507,-295219,296807,-1064052000000,-480451000000,483452000000,kis_api,
2026-09-03,000660,-234626,-187288,-220315,-381452000000,-300390000000,-361498000000,kis_api,
2026-09-04,000660,308833,96776,-1037636,511804000000,158615000000,-1711757000000,kis_api,
