date,ticker,short_qty,short_vol_pct,cum_short_qty,cum_short_vol_pct,short_amt,source,fetched_at
2026-03-09,000660,301352,4.15,1067130,4.00,250601433000,kis_api,2026-08-02T14:47:49+00:00
2026-03-10,000660,87541,1.65,806073,3.54,81204001500,kis_api,2026-08-03T17:23:07+00:00
2026-03-11,000660,78737,2.01,571104,2.82,75437373500,kis_api,2026-08-04T16:33:28+00:00
2026-03-12,000660,65115,1.75,532745,2.64,61088546500,kis_api,2026-08-05T16:18:46+00:00
2026-03-13,000660,156336,4.29,387729,2.34,142173984500,kis_api,2026-08-06T10:57:28+00:00
2026-03-16,000660,80896,2.11,381084,2.52,77252595500,kis_api,2026-08-09T11:15:27+00:00
2026-03-17,000660,83632,2.51,385979,2.66,83393540500,kis_api,2026-08-10T12:10:08+00:00
2026-03-18,000660,92624,2.13,478603,2.54,95008590000,kis_api,2026-08-10T12:10:08+00:00
2026-03-19,000660,292894,8.75,771497,3.47,297845151000,kis_api,2026-08-10T12:10:08+00:00
2026-03-20,000660,237459,6.93,1008956,3.94,240197587500,kis_api,2026-08-10T12:10:08+00:00
2026-03-23,000660,188326,4.81,811303,5.40,177199059500,kis_api,2026-08-17T10:33:10+00:00
2026-03-24,000660,70255,1.61,788934,5.25,68719433000,kis_api,2026-08-18T10:29:31+00:00
2026-03-25,000660,261493,5.86,757533,4.69,262927350000,kis_api,2026-08-19T10:29:59+00:00
2026-03-26,000660,310053,6.65,830127,4.77,293524212631,kis_api,2026-08-20T10:31:30+00:00
2026-03-27,000660,290453,6.42,932254,5.18,263252830500,kis_api,2026-08-23T10:25:17+00:00
2026-03-30,000660,111894,2.49,973893,5.37,97442065000,kis_api,2026-08-24T10:38:09+00:00
2026-03-31,000660,114351,1.59,826751,3.96,93998682000,kis_api,2026-08-25T10:34:03+00:00
2026-04-01,000660,160466,2.57,677164,3.01,141124768000,kis_api,2026-08-26T10:36:11+00:00
2026-04-02,000660,437809,7.14,824520,3.42,371106071500,kis_api,2026-08-27T20:10:52+00:00
2026-04-03,000660,163482,5.58,876108,3.89,143278410500,kis_api,2026-08-30T14:42:57+00:00
2026-04-06,000660,106643,3.44,868400,4.72,94079364500,kis_api,2026-08-31T17:25:55+00:00
2026-04-07,000660,452883,12.51,1160817,7.36,412905916000,kis_api,2026-09-01T14:36:05+00:00
2026-04-08,000660,210355,3.14,933363,5.71,214643926500,kis_api,2026-09-02T14:09:48+00:00
2026-04-09,000660,448129,8.91,1218010,6.60,448081049500,kis_api,2026-09-03T14:12:03+00:00
2026-04-10,000660,61536,1.96,1172903,6.34,63477439500,kis_api,2026-09-06T13:26:35+00:00
2026-04-13,000660,108387,3.91,828407,4.70,111721153500,kis_api,2026-09-07T15:33:39+00:00
2026-04-14,000660,68843,1.45,686895,4.38,76237295000,kis_api,2026-09-08T14:12:37+00:00
2026-04-15,000660,147045,3.59,385811,2.62,170655057000,kis_api,2026-09-09T14:13:12+00:00
2026-04-16,000660,46696,1.61,370971,2.56,53808604000,kis_api,2026-09-10T14:07:02+00:00
2026-04-17,000660,376331,10.52,638915,4.17,427495829576,kis_api,2026-09-13T14:08:04+00:00
2026-04-20,000660,197762,5.28,767834,5.36,227662697000,kis_api,2026-09-14T16:12:17+00:00
2026-04-21,000660,46231,1.31,667020,4.85,55967835500,kis_api,2026-09-15T14:40:41+00:00
2026-04-22,000660,66131,2.28,686455,5.00,80463547000,kis_api,2026-09-16T14:40:44+00:00
2026-04-23,000660,66225,1.24,376349,2.43,81219870500,kis_api,2026-09-17T14:44:21+00:00
2026-04-24,000660,65151,2.08,243738,1.64,79328622500,kis_api,2026-09-20T13:59:31+00:00
2026-04-27,000660,32227,0.71,229734,1.44,41640108000,kis_api,2026-09-21T16:17:12+00:00
2026-04-28,000660,118505,3.95,282108,1.76,155237435500,kis_api,2026-09-22T05:37:01+00:00
2026-04-29,000660,58173,1.94,340281,1.79,75463221000,kis_api,2026-09-22T05:37:01+00:00
2026-04-30,000660,9978,0.30,350259,1.56,13055850000,kis_api,2026-09-22T05:37:01+00:00
2026-05-04,000660,25724,0.45,375983,1.34,35903786500,kis_api,2026-09-22T05:37:01+00:00
2026-05-06,000660,338480,5.10,714463,2.05,537633745000,kis_api,2026-09-22T05:37:01+00:00
2026-05-07,000660,58250,0.99,772713,1.90,94995482500,kis_api,2026-09-22T05:37:01+00:00
2026-05-08,000660,30171,0.71,802884,1.79,49513420500,kis_api,2026-09-22T05:37:01+00:00
2026-05-11,000660,257106,3.46,1059990,2.02,479110765000,kis_api,2026-09-22T05:37:01+00:00
2026-05-12,000660,98314,1.07,1158304,1.88,186692305500,kis_api,2026-09-22T05:37:01+00:00
2026-05-13,000660,251254,3.53,1409558,2.05,454809278000,kis_api,2026-09-22T05:37:01+00:00
2026-05-14,000660,264808,4.38,1674366,2.24,522608063000,kis_api,2026-09-22T05:37:01+00:00
2026-05-15,000660,236127,3.15,1910493,2.32,458330777500,kis_api,2026-09-22T05:37:01+00:00
2026-05-18,000660,51681,0.80,1962174,2.21,93951458500,kis_api,2026-09-22T05:37:01+00:00
2026-05-19,000660,114631,2.51,2076805,2.23,204558458000,kis_api,2026-09-22T05:37:01+00:00
2026-05-20,000660,117411,2.12,2194216,2.22,203993030000,kis_api,2026-09-22T05:37:01+00:00
2026-05-21,000660,138739,2.72,2332955,2.25,259995039500,kis_api,2026-09-22T05:37:01+00:00
2026-05-22,000660,61332,1.96,2394287,2.24,119008827500,kis_api,2026-09-22T05:37:01+00:00
2026-05-26,000660,288214,5.88,2682501,2.40,585456809540,kis_api,2026-09-22T05:37:01+00:00
2026-05-27,000660,165456,2.19,2847957,2.38,372900265500,kis_api,2026-09-22T05:37:01+00:00
2026-05-28,000660,347023,5.57,3194980,2.54,761649240500,kis_api,2026-09-22T05:37:01+00:00
2026-05-29,000660,590777,6.94,3785757,2.82,1377583564585,kis_api,2026-09-22T05:37:01+00:00
2026-06-01,000660,156882,2.80,3942639,2.82,363757839000,kis_api,2026-09-22T05:37:01+00:00
